"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
58,686678,"Solesky, Chase",58,100,0.375,0.313,0.455,0.688,0.466,0.353,0.291,6,16,89.4,10.1,1923,88.9,89.42,2,22,36,0.5,6.78,111,152,122,149,307,339,299,"-2.656","2.656","72.6","7.1","0.1",17,12,3,2,0,1,4,23.5,1,5.9,2.17759,0.74828,0.30155,0.28638,"91.6",156,33.33333333333333,8.333333333333332,5.88235294117647,5.63,-1.18,0.23,1.96,0.412,1,"4.579310345",0.332,0.488,"-4.579310345",0.084,0.07999999999999996,0.2,0.113,9.1,"48.1",6.493256409308388,5.903256425020713,35.23325977765624,0.5454545454545454,35.846831364442245,26.036109152884574
58,681006,"Simpson, Josh",58,100,0.308,0.538,0.25,0.846,0.508,0.428,0.221,4,13,97.1,33.6,2356,87,86.51,6,28,30,-0.5,5.94,111,150,121,148,288,324,291,"-3.127","3.127","70.0","7.7","2.973955493",15,10,1,1,0,2,3,20,2,13.3,2.95897,0.09088,0.02483,-0.24172,"93.5",158,50,20,13.333333333333334,5.09,1.36,-0.21,2.28,0.4,2,"5.39137931",0.325,0.719,"-5.39137931",0.087,0.07500000000000001,0.127,0.08,21.4,"20.7",15.442628877399075,-4.827330812858849,33.83996716588148,0.5,37.37829138227509,36.14053356573346
56,671109,"Eder, Jake",56,100,0.231,0.077,0.231,0.308,0.249,0.459,0.363,3,13,95.3,23.2,2148,91.2,92.1,3,33,23,0.8999999999999915,6.65,113,152,124,149,306,322,295,"1.057","-1.057","69.8","6.9","1.35930038",15,13,2,1,0,0,1,6.7,1,6.7,2.18482,0.61,0.36375,-0.18446,"94.9",216,69.23076923076923,30.76923076923077,26.666666666666668,5.86,1.62,-0.03,2.34,0.267,4,"-1.8875",0.387,0.746,"1.8875",-0.132,-0.12,-0.438,-0.21,9.1,"37.9",7.777216121444452,5.229003373275482,28.23273436203908,0.45454545454545453,37.66644865701057,27.418616461767357
56,676702,"Stratton, Hunter",56,100,0.4,0.067,0.5,0.467,0.38,0.383,0.403,6,15,87,1.7,2528,92.3,93.06,5,30,26,0.7999999999999972,6.51,104,146,121,149,304,325,303,"-0.332","0.332","70.7","7.1","1.441902561",15,12,5,1,0,0,3,20,0,0,2.02714,0.65321,-0.14821,0.12643,"91.6",155,25,0,0,5.88,-2.43,-0.07,2.51,0.4,0,"0.592857143",0.403,0.476,"-0.592857143",-0.003,-0.0030000000000000027,-0.009,-0.003,16.7,"39.7",7.33937334827402,-1.9687270270652073,28.12156987375864,0.43333333333333335,34.2268433803328,31.17934241554611
56,695445,"Lee, Chase",56,100,0.182,0.545,0,0.727,0.458,0.347,0.202,2,11,84.7,1.6,2494,86.3,85.8,3,17,39,-0.5,6.04,112,150,120,152,292,320,285,"-2.856","2.856","68.6","6.8","2.626385289",15,10,0,0,0,2,1,6.7,4,26.7,2.88357,0.21909,0.03679,-0.19214,"91.4",172,30,10,6.666666666666667,3.84,-2.8,-0.19,2.59,0.4,1,"5.1",0.414,0.307,"-5.1",-0.02,-0.013999999999999957,0.42,0.111,17.6,"-3.1",2.6449898998659553,10.394339883838942,30.672203047434778,0.5294117647058824,38.265014671795235,21.750662181322674
53,682997,"Callihan, Tyler",53,100,0.25,0,0.273,0.25,0.317,0.38,0.282,3,12,91.8,20.7,1580,69.8,68.47,0,19,34,-1.2999999999999972,5.11,118,150,130,150,310,325,302,"0.293","-0.293","69.8","7.1",,15,11,3,0,0,0,1,6.7,3,20,3.61491,1.14472,0.58868,-0.08566,"92.7",180,54.54545454545454,0,0,6.46,-1.75,-0.06,2.45,0.4,0,"-0.552830189",0.425,0.415,"0.552830189",-0.032,-0.024999999999999967,-0.165,-0.063,0,"43.7",8.387353548828251,1.7682114919387169,30.567932263139685,0.42105263157894735,38.384257736899805,28.845350733850474
53,500743,"Rojas, Miguel",53,100,0.429,0.381,0.368,0.81,0.542,0.438,0.373,9,21,92.5,15.6,1359,49.6,48.08,1,27,26,-1.5,4.67,119,152,129,150,299,321,295,"-4.251","4.251","73.8","7.1","1.087549572",23,21,5,2,0,2,0,0,1,4.3,8.63226,1.42717,0.40245,0.07906,"94.7",182,52.38095238095239,9.523809523809524,8.695652173913043,6.58,-1.49,0.16,2.93,0.478,2,"8.020754717",0.428,0.591,"-8.020754717",0.056,0.04999999999999999,0.219,0.104,3.7,"38.4",15.318923371236268,-4.974060375544845,29.792056556445377,0.65,36.1295519258046,36.13546018408434
52,676910,"Seelinger, Matt",52,100,0.455,0.545,0.5,1,0.633,0.409,0.226,5,11,91.1,16,2251,87.9,88.07,7,24,28,0.19999999999998863,6.51,111,149,120,149,295,324,302,"-3.853","3.853","69.4","7.2","3.373216407",15,9,1,3,0,1,2,13.3,4,26.7,2.09212,0.89346,-0.03962,0.05115,"92.7",177,44.44444444444444,22.22222222222222,13.333333333333334,5.68,-0.54,0.06,2.5,0.6,2,"7.409615385",0.432,0.495,"-7.409615385",0.229,0.16799999999999998,0.505,0.224,29.2,"63.5",8.739351025839582,-2.627774447607782,28.64512456340264,0.4166666666666667,37.48268219625538,30.588508214149808
51,543309,"Higashioka, Kyle",51,100,0.571,0.5,0.467,1.071,0.62,0.57,0.509,8,14,95.5,19.2,1199,43.2,41.16,1,20,31,-2,3.96,116,153,122,147,309,327,303,"-4.786","4.786","76.1","7.3","0.507765876",18,16,3,4,0,1,0,0,1,5.6,11.36333,1.71392,0.06833,0.04167,"95.3",218,62.5,12.5,11.11111111111111,7.18,-1.85,0.12,2.75,0.556,2,"9.384313725",0.515,0.949,"-9.384313725",0.062,0.041000000000000036,0.122,0.05,5,"61.5",18.17548727277348,-7.866416988956451,26.348316356884865,0.6111111111111112,35.13498201391491,37.76416803827916
50,623168,"Heineman, Tyler",50,100,0.35,0.3,0.316,0.65,0.437,0.468,0.405,7,20,91.3,19.4,1394,51.4,49.23,0,28,22,-2.1999999999999957,3.96,120,152,126,150,294,326,301,"-1.664","1.664","71.9","7.0",,21,20,3,3,0,1,0,0,1,4.8,7.5048,1.8096,0.244,0.1032,"93.0",204,55.00000000000001,10,9.523809523809524,6.94,-1,0.35,3,0.381,2,"3.328",0.434,0.662,"-3.328",-0.055,-0.05299999999999999,-0.012,-0.031,0,"61.3",15.060359990205912,-3.386884018249572,28.309112767637984,0.5833333333333334,40.558892180101,36.595896262306994
